ID;NAME;PHONE;ADDED_AT;REMOVED_AT;EMAIL;IS_ACTIVE
1;Rutherford;38;31-01-2020;;Herbert.Grant@GMAIL.COM;false
2;Herbert;32;25-02-2020;;John.Quincy@GMAIL.COM;false
3;William;94;22-02-2020;;Gerald.Monroe@GMAIL.COM;false
4;Jimmy;58;02-01-2020;13-04-2020;Richard.Pierce@GMAIL.COM;true
5;Thomas;84;02-02-2020;;Zachary.Grant@GMAIL.COM;false
6;Thomas;71;24-02-2020;05-04-2020;Ulysses.Clinton@GMAIL.COM;true
7;Franklin;87;10-02-2020;20-04-2020;Warren.Eisenhower@GMAIL.COM;true
8;Dwight;45;05-02-2020;;George.Wilson@GMAIL.COM;false
9;Woodrow;76;05-02-2020;12-04-2020;Richard.Jefferson@GMAIL.COM;true
10;Woodrow;40;28-02-2020;;Jimmy.Ford@GMAIL.COM;false
11;Rutherford;15;16-02-2020;;Woodrow.Adams@GMAIL.COM;false
12;Millard;71;26-02-2020;02-04-2020;George.Fillmore@GMAIL.COM;true
13;Gerald;51;11-02-2020;13-04-2020;Theodore.McKinley@GMAIL.COM;true
14;William;36;09-01-2020;17-04-2020;William.Kennedy@GMAIL.COM;true
15;Lyndon;17;11-02-2020;;Franklin.Adams@GMAIL.COM;false
16;Franklin;11;25-01-2020;;Harry.Roosevelt@GMAIL.COM;false
17;Jimmy;74;16-02-2020;09-04-2020;Theodore.McKinley@GMAIL.COM;true
18;William;57;21-01-2020;;Andrew.Buchanan@GMAIL.COM;false
19;Dwight;79;26-01-2020;;Benjamin.Harrison@GMAIL.COM;false
20;Ulysses;37;28-02-2020;05-04-2020;Benjamin.Hoover@GMAIL.COM;true
21;Jimmy;19;04-01-2020;24-04-2020;John.Van Buren@GMAIL.COM;true
22;Theodore;74;09-01-2020;;Martin.Garfield@GMAIL.COM;false
23;Andrew;14;26-01-2020;;Grover.Pierce@GMAIL.COM;false
24;James;68;27-01-2020;21-04-2020;James.Polk@GMAIL.COM;true
25;Grover;64;19-02-2020;;Millard.Hoover@GMAIL.COM;false
26;Theodore;70;30-01-2020;05-04-2020;Gerald.Garfield@GMAIL.COM;true
27;Gerald;80;28-01-2020;04-04-2020;Jimmy.Johnson@GMAIL.COM;true
28;Woodrow;91;24-01-2020;;William.Eisenhower@GMAIL.COM;false
29;John;28;27-01-2020;05-04-2020;Ronald.Polk@GMAIL.COM;true
30;Ronald;88;28-01-2020;07-04-2020;Calvin.Eisenhower@GMAIL.COM;true
31;Herbert;73;06-01-2020;;John.Johnson@GMAIL.COM;false
32;Martin;60;07-02-2020;;Chester.Clinton@GMAIL.COM;false
33;Dwight;69;09-02-2020;07-04-2020;Calvin.Monroe@GMAIL.COM;true
34;William;11;21-02-2020;;Woodrow.Lincoln@GMAIL.COM;false
35;Chester;64;25-02-2020;;Abraham.Madison@GMAIL.COM;false
36;Franklin;30;27-01-2020;21-04-2020;Woodrow.Taylor@GMAIL.COM;true
37;Benjamin;65;19-01-2020;02-04-2020;Herbert.Fillmore@GMAIL.COM;true
